;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
138;-54.0;-52.0;;-73.0;-76.0;;-75.0;-80.0;-74.0;-110.0;-75.0;;1.0;3.1;00:02:08:226
139;;-56.0;-48.0;-66.0;-69.0;-72.0;-110.0;-71.0;-81.0;-85.0;;-86.0;1.0;3.1;00:02:08:333
140;-46.0;;-64.0;-74.0;-69.0;-67.0;-110.0;-74.0;-81.0;-80.0;-78.0;;1.0;3.1;00:02:08:438
141;-60.0;-47.0;-52.0;;-77.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:08:546
142;-54.0;-52.0;;-73.0;;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:08:654
143;;-56.0;-54.0;;-68.0;-72.0;-85.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:08:759
144;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-75.0;-80.0;-78.0;;1.0;3.1;00:02:08:861
145;-57.0;-47.0;;-73.0;-76.0;-61.0;-90.0;-80.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:08:966
146;-59.0;-55.0;-48.0;-73.0;;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:09:070
147;;-56.0;-54.0;-74.0;-68.0;;-85.0;-70.0;-80.0;;-79.0;-86.0;1.0;3.1;00:02:09:178
148;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:09:285
149;-59.0;-47.0;;-73.0;-77.0;-61.0;-76.0;-81.0;-75.0;;-75.0;-82.0;1.0;3.1;00:02:09:388
150;;-56.0;-48.0;-64.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;;-86.0;1.0;3.1;00:02:09:497
151;-46.0;-55.0;-64.0;-74.0;-68.0;;-86.0;-70.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:09:601
152;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:09:706
